"YEAR","STATE","UNIT_ID","FIRE_NUM","FIRE_NAME","AGENCY","C_METHOD","CAUSE","INC_NUM","OBJECTIVE","COMMENTS","REPORT_AC","GIS_ACRES","Shape_Leng","Shape_Area","ALARM_DATE","CONT_DATE_","ID_NUM"
2008,CA,SRF,00000026,BLUE 2,USF,7,1,00000026,1,,17540.000000000000000,17552.394531250000000,69438.639768575200000,71032024.463472300000000,06/21/08,10/03/08,994
2008,CA,PNF,00000052,SOUTH-FREY,USF,7,1,00000052,1,Canyon Complex. Fires burned together. Fire Number for Frey 046,11000.000000000000000,12401.953125000000000,52147.077856798600000,50188924.769524300000000,06/21/08,08/31/08,995
2008,CA,PNF,00000063,SCOTCH,USF,7,1,,1,Canyon Complex,13009.000000000000000,13008.354492187500000,54935.139109003000000,52642944.084375400000000,06/21/08,08/31/08,996
2008,CA,SRF,00000049,HAYPRESS,USF,7,1,,1,Ukonom Complex,13654.000000000000000,13664.682617187500000,57301.696950235400000,55299010.446601100000000,06/21/08,10/03/08,997
2008,CA,SRF,00000041,JAKE,USF,7,1,,1,Ukonom Complex,38394.000000000000000,38416.582031250000000,98851.406716599500000,155466398.850740000000000,06/21/08,10/03/08,998
2008,CA,SRF,00000068,MERRILL,USF,7,1,,1,Ukonom Complex,8332.000000000000000,8339.333007812500000,36161.354506260200000,33748085.164691800000000,06/21/08,10/03/08,999
2008,CA,SRF,00000023,MILL,USF,7,1,,1,,65834.000000000000000,65882.039062500000000,133973.708559595000000,266615155.353101000000000,06/20/08,10/03/08,1000
2008,CA,SRF,00000035,HALF,USF,1,1,,1,,15118.000000000000000,15130.146484375000000,50352.391681651800000,61229531.727998100000000,06/20/08,08/25/08,1001
2008,CA,PNF,00000084,RICH,USF,7,6,,1,,5572.000000000000000,6110.651367187500000,42766.892383794500000,24728929.147565500000000,07/29/08,09/02/08,1002
2008,CA,PNF,00000070,COLD,USF,7,1,,1,,5512.000000000000000,5599.298339843750000,34002.618691381400000,22659556.589236900000000,06/21/08,08/31/08,1003
2008,CA,SQF,00000018,PIUTE,USF,7,9,,1,,37026.000000000000000,37346.246093750000000,112927.477290421000000,151134903.618492000000000,06/28/08,07/30/08,1004
2008,CA,SQF,00000009,CLOVER,USF,7,1,,2,,15300.000000000000000,15788.589843750000000,56205.952815858400000,63894156.477975000000000,05/31/08,06/07/08,1005
2008,CA,SHF,00000188,BUCKHORN,USF,7,1,,1,Iron Complex,31419.000000000000000,29814.308593750000000,136583.059344558000000,120654228.873991000000000,06/21/08,07/31/08,1006
2008,CA,SHF,00000079,CEDAR-Iron Complex,USF,7,1,,1,Iron Complex,25398.000000000000000,25391.726562500000000,62465.283714545900000,102756671.273759000000000,06/21/08,07/31/08,1007
2008,CA,SHF,00000164,IRONSIDE-Iron Complex,USF,7,1,,1,Iron Complex,12720.000000000000000,12834.115234375000000,44476.574823758900000,51937821.796299300000000,06/20/08,07/31/08,1008
2008,CA,SHF,00000137,LIME,USF,7,1,,1,Lime Complex,25199.000000000000000,24884.738281250000000,155031.623811296000000,100704962.229995000000000,06/20/08,08/13/08,1009
2008,CA,SHF,00000119,NOBLE,USF,7,1,,1,,12856.000000000000000,12984.699218750000000,77357.487697288600000,52547214.824139200000000,06/21/08,07/08/08,1010
2008,CA,SHF,00000115,TELEPHONE,USF,7,1,,1,,6625.000000000000000,6910.941894531250000,39238.186319126800000,27967589.737580300000000,06/20/08,08/13/08,1011
2008,CA,SHF,,SHU LIGHTNING-DEERLICK FIRE,USF,2,1,004727,1,,35312.000000000000000,12976.932617187500000,72588.568745861200000,52515784.690031300000000,06/20/08,01/04/1,1012
2008,CA,SHF,,SHU LIGHTNING-MOON FIRE,USF,2,1,004727,1,,35312.000000000000000,35312.218750000000000,99162.015697795500000,142903475.786011000000000,06/20/08,01/04/1,1013
2008,CA,SHF,,SHU LIGHTNING-MOTION FIRE,USF,2,1,004727,1,,28330.000000000000000,28329.740234375000000,77498.818170949300000,114646394.271625000000000,06/20/08,01/04/1,1014
1985,CA,SMP,5,PIUMA,CCO,7,14,00936712,1,"From BARCdata, air photo interp, and LACOreported perimeter. Most accurate.",0.000000000000000,5390.650878906250000,46577.824497330700000,21815189.903562000000000,01/04/1,01/04/1,1015
2008,CA,TGU,00000079,MILL,CDF,8,1,004261,1,"AKA June LCA, faught at same time as antelople, USFS # 79",13580.000000000000000,13511.755859375000000,38635.298421134400000,54680137.026494700000000,06/21/08,06/29/08,1016
2009,CA,ANF,000138,STATION,USF,7,7,000138,1,,160371.000000000000000,160833.109375000000000,213671.975871206000000,650868494.870002000000000,08/26/09,09/22/09,1017
2009,CA,BDF,000171,SHEEP,USF,7,9,000171,1,,7128.000000000000000,7237.873046875000000,53000.332172374700000,29290633.125197200000000,10/03/09,10/24/09,1018
2009,CA,BEU,,GLORIA,CDF,2,9,002830,1,,0.000000000000000,6435.951660156250000,28514.020084683200000,26045371.451847100000000,08/28/09,09/08/09,1019
2009,CA,CZU,007246,LOCKHEED,CDF,1,14,009867,1,,7817.000000000000000,7783.063964843750000,34740.099170764700000,31496942.083020500000000,08/12/09,08/23/09,1020
2009,CA,LNF,000050,SUGARLOAF,USF,8,1,000050,1,Hat Creek Complex,9356.000000000000000,9354.166992187500000,41990.917787507700000,37854970.340659900000000,08/01/09,08/12/09,1021
2009,CA,LPF,000025,LA BREA,USF,5,9,000025,1,,91622.000000000000000,97815.312500000000000,94248.309648484100000,395844539.298688000000000,08/08/09,08/22/09,1022
2009,CA,SBC,,JESUSITA,CCO,8,2,093850,1,,8733.000000000000000,8733.996093750000000,40673.947141164700000,35345226.750150400000000,05/05/09,05/17/09,1023
2009,CA,SCU,,CORRAL,CDF,2,9,003410,1,,12200.000000000000000,12242.760742187500000,33904.885170286400000,49544696.854721300000000,08/13/09,08/20/09,1024
2009,CA,SHU,000102,CHALK,CDF,8,1,000102,1,,6923.000000000000000,6846.619628906250000,31703.618408866600000,27707285.984273300000000,08/01/09,09/01/09,1025
2009,CA,SHU,E3ZN,CASSEL,CDF,7,1,005594,1,PART OF 09 SHU LIGHTNING COMPLEX,17623.000000000000000,6098.186035156250000,23751.885069978500000,24678484.197050100000000,08/02/09,08/17/09,1026
2009,CA,SRF,000032,LT-17(BACKBONE),USF,8,1,000032,1,,5065.000000000000000,5193.642089843750000,37401.983164731600000,21017922.948791700000000,07/01/09,09/03/09,1027
2009,CA,STF,00000018,KNIGHT,USF,7,9,00002207,1,,6130.000000000000000,6129.376464843750000,39538.377981750900000,24804707.268203800000000,07/26/09,08/21/09,1028
2009,CA,VNC,E7L6,GUIBERSON,CCO,8,14,054871,1,"FIMT, 4 structures destroyed",17500.000000000000000,17526.685546875000000,67791.448004631200000,70927983.236274000000000,09/22/09,09/24/09,1029
2010,CA,LAC,169202,CROWN,CCO,7,2,169202,1,,13918.000000000000000,12582.275390625000000,82162.773679649500000,50918663.351766500000000,07/29/10,08/02/10,1030
2010,CA,NOD,FNP8,MCDONALD,BLM,1,1,00003688,1,final,9408.000000000000000,9406.033203125000000,66226.367902203000000,38064864.055378000000000,07/26/10,08/10/10,1031
2010,CA,SQF,000021,BULL,USF,7,9,2701,1,,16442.000000000000000,16448.224609375000000,61062.906626969600000,66563603.484559600000000,07/25/10,07/31/10,1032
2010,CA,SQF,FU4L,CANYON,USF,2,9,003564,1,IR heat perimeter,9820.000000000000000,9336.107421875000000,57113.676901258200000,37781884.428565700000000,09/12/10,09/24/10,1033
2011,CA,BDU,,JOHN,CDF,1,14,00010475,1,2 miles south of Big Pine,5353.000000000000000,5799.841308593750000,20410.832349197800000,23471124.264850800000000,09/13/11,09/16/11,1034
2011,CA,KRN,,ANTELOPE,CCO,7,14,1117988,1,BLM inc # 017988,5196.000000000000000,5068.753417968750000,26750.079889918900000,20512518.204546300000000,06/19/11,06/21/11,1035
2011,CA,KRN,,BRECKENRIDGE COMPLEX,CCO,7,1,01127969,1,3 seperate lightning fires burned together,25230.000000000000000,25223.412109375000000,88702.865590541100000,102075530.363938000000000,09/10/11,09/17/11,1036
2011,CA,KRN,,CANYON,CCO,7,16,01127244,1,alt inc # 27244,14585.000000000000000,14585.359375000000000,59767.825347326300000,59024853.410579700000000,09/04/11,09/10/11,1037
2011,CA,KRN,,COMANCHE,CCO,2,1,01127933,1,Main Fire in Comanche Complex: 27933,25938.000000000000000,25939.011718750000000,67464.656787460300000,104971453.982724000000000,09/10/11,09/17/11,1038
2011,CA,KRN,,REED,CCO,2,1,01127925,1,,5900.000000000000000,5899.568359375000000,24822.047775884000000,23874707.013069100000000,09/10/11,09/11/11,1039
2011,CA,MVU,,EAGLE,CDF,7,7,00008019,1,,14100.000000000000000,13992.992187500000000,89066.338074637000000,56627631.172325900000000,07/21/11,07/29/11,1040
2011,CA,SQF,,LION,USF,7,1,00002087,1,,20500.000000000000000,20681.539062500000000,81767.966721935000000,83695221.274823900000000,07/08/11,11/08/11,1041
2011,CA,SQF,,MOTOR,USF,8,2,00002117,1,,5230.317204253140000,5230.338378906250000,26494.257756669300000,21166427.543483000000000,08/25/11,10/01/11,1042
2012,CA,CDD,,JAWBONE COMPLEX,BLM,3,1,00011542,1,Alternate Inc # 000542 & 1225174,12018.000000000000000,12015.208007812500000,73930.208114331400000,48623823.229850000000000,08/10/12,09/05/12,1043
2012,CA,CDD,,LIKLEY,BLM,3,11,00003916,1,,9838.000000000000000,9965.597656250000000,103648.297555248000000,40329341.289491900000000,09/05/12,10/21/12,1044
2012,CA,CDD,,STWEART,BLM,8,1,00008747,1,VALLECITO LIGHTNING COMPLEX,22829.000000000000000,10630.225585937500000,40193.069150869200000,43018997.243635900000000,08/13/12,08/20/12,1045
2012,CA,CDD,,WILSON,BLM,8,1,00008747,1,VALLECITO LIGHTNING COMPLEX,22829.000000000000000,11667.137695312500000,51235.180135581400000,47215232.228179900000000,08/13/12,08/20/12,1046
2012,CA,CND,,INDIAN,BLM,3,1,00000942,1,,12575.000000000000000,12575.238281250000000,60484.645524995700000,50890184.338354500000000,08/08/12,08/24/12,1047
2012,CA,KNF,,GOFF,USF,7,1,00005659,1,part of the Fort Complex,22283.000000000000000,22266.945312500000000,124425.159486168000000,90111126.951848900000000,08/05/12,10/01/12,1048
2012,CA,LNU,,SIXTEEN_COMPLEX,CDF,1,7,00007072,1,,17944.000000000000000,17942.148437500000000,65417.616315236400000,72609294.728341500000000,09/04/12,09/15/12,1049
2012,CA,LNU,,WALKER,CDF,3,14,00006334,1,Wye and Walker were fought together,7934.000000000000000,5102.582519531250000,24787.833799310900000,20649417.865440800000000,08/12/12,08/24/12,1050
2012,CA,MNF,,MILL,USF,3,9,00001109,1,,29052.000000000000000,29525.451171875000000,60310.858323103000000,119485260.502916000000000,07/07/12,07/18/12,1051
2012,CA,MNF,,NORTH PASS,USF,7,1,00001446,1,,41983.000000000000000,41812.519531250000000,85213.685098339600000,169209261.223566000000000,06/18/12,09/27/12,1052
2012,CA,MVU,,BANNER FIRE,CDF,2,14,00005400,1,,5132.000000000000000,5320.115722656250000,36775.896522137100000,21529744.194619700000000,05/24/12,05/29/12,1053
2012,CA,NOD,,RUSH,BLM,3,1,00003490,1,,315577.000000000000000,315511.500000000000000,414346.362959793000000,1276829696.348160000000000,08/12/12,10/22/12,1054
2012,CA,PNF,,CHIPS,USF,8,4,00001001,1,Escaped campfire in the Chips Creek drainage ran to the NW to Lake Almanor.,75431.000000000000000,76349.710937500000000,156106.651173132000000,308976306.875860000000000,07/28/12,08/31/12,1055
2012,CA,SHF,,BAGLEY,USF,8,1,00002744,1,,46011.000000000000000,46040.148437500000000,88198.439280648800000,186317873.448739000000000,08/18/12,10/29/12,1056
2012,CA,TGU,,PONDEROSA,CDF,1,1,00006696,1,,27676.000000000000000,27670.378906250000000,77658.988754228700000,111978047.102852000000000,08/18/12,10/12/12,1057
2012,OR,,,BARRY POINT,USF,7,1,00120680,1,OR-FWF-120680 this line is a combo of firelines and fire edges,93071.000000000000000,92944.531250000000000,185385.395522180000000,376133171.451674000000000,08/06/12,09/17/12,1058
2013,CA,ANF,,POWERHOUSE,USF,1,9,00002297,1,Contract County #129377,30268.000000000000000,30267.691406250000000,119536.890475942000000,122489001.623135000000000,05/30/13,12/18/13,1059
2013,CA,BDF,,MOUNTAIN,CDF,7,9,00000057,1,CAL FIRE # 000057,27505.000000000000000,27523.666015625000000,79753.999469650600000,111384324.133293000000000,07/15/13,07/30/13,1060
2013,CA,BTU,,PANTHER,CDF,2,9,00005648,1,,6896.000000000000000,6896.198242187500000,37017.595076580500000,27907924.399100400000000,05/01/13,12/09/13,1061
2013,CA,CCD,,RED ROCK,BLM,2,14,00030217,1,carson city district is where it started,0.000000000000000,5365.244628906250000,29762.352602426200000,21712374.134376600000000,07/01/13,07/05/13,1062
2013,CA,KNF,,SALMON COMPLEX,USF,7,7,00005561,1,"Shelly & Boulder became Salmon Complex, then with Butler became Forks Complex",14785.000000000000000,14785.875976562500000,67570.719508606000000,59836318.010820000000000,07/31/13,08/25/13,1063
2013,CA,MVU,,CHARIOT,CDF,1,14,00014084,1,USFS # 000042,7055.000000000000000,7084.672851562500000,44541.023632195900000,28670653.286755100000000,07/06/13,07/15/13,1064
2013,CA,RRU,,SILVER,CDF,7,14,00070781,1,USFS# 000081,19907.000000000000000,20308.453125000000000,81702.287984005100000,82185393.180891800000000,08/07/13,08/13/13,1065
2013,CA,SHU,,CLOVER,CDF,7,7,00008265,1,,8073.000000000000000,8075.774414062500000,34472.521776620900000,32681499.966107900000000,09/09/13,09/15/13,1066
2013,CA,SNF,,ASPEN,USF,2,1,00000010,1,,22992.000000000000000,22937.521484375000000,76274.438003110900000,92824857.031032000000000,07/22/13,09/08/13,1067
2013,CA,SRF,,BUTLER,USF,3,7,00000024,1,Salmon Complex & Butler became Forks Complex,22445.000000000000000,22444.861328125000000,108835.924830982000000,90831128.521130800000000,07/31/13,10/01/13,1068
2013,CA,SRF,,CORRAL,USF,3,1,00000044,1,,12531.000000000000000,12541.415039062500000,100250.032260506000000,50753306.253305500000000,08/10/13,10/02/13,1069
2013,CA,STF,,RIM,USF,7,4,00000006,1,2013-CAYNP-0126 Suppressed Human Caused,255858.000000000000000,256175.531250000000000,340544.183490504000000,1036705583.653630000000000,08/17/13,10/24/13,1070
2013,CA,TGU,,DEER,CDF,7,9,00006768,1,,11429.000000000000000,11428.752929687500000,37469.129814305300000,46250522.088792700000000,08/23/13,08/29/13,1071
2013,CA,TNF,,AMERICAN,USF,7,9,00000049,1,,27740.000000000000000,27430.521484375000000,62889.838870779200000,111007378.305324000000000,08/10/13,10/08/13,1072
2013,CA,VNC,,SPRINGS,CCO,7,14,,1,2013-CASMP-416  Ventura Co 13-25314,24251.000000000000000,24059.857421875000000,118387.001248612000000,97366786.974022000000000,05/02/13,05/08/13,1073
2013,NV,HTF,,SPRING PEAK,USF,8,1,00030475,1,inciweb # 3668,0.000000000000000,14267.092773437500000,50699.630968583000000,57736876.440210000000000,08/18/13,08/27/13,1074
2014,CA,LMU,,DAY,CDF,1,1,003472,1,,13153.000000000000000,13150.666015625000000,52049.552462691400000,53218857.784185200000000,07/30/14,08/13/14,1075
2014,CA,MEU,,LODGE,CDF,2,1,007202,1,,12536.000000000000000,12533.183593750000000,42710.486440279500000,50719993.314202800000000,07/30/14,09/18/14,1076
2014,CA,SHU,,BULLY,CDF,7,10,006248,1,,12661.000000000000000,12658.741210937500000,48256.895877329300000,51228107.433899800000000,07/11/14,07/23/14,1077
2014,OR,,,OREGON GULCH,OTH,7,1,005589,1,Oregon Department of Forestry,35105.213700000000000,35111.246093750000000,68063.035896294500000,142090171.531656000000000,07/30/14,08/13/14,1078
2014,CA,LNU,,MONTICELLO,CDF,3,14,005465,1,,0.000000000000000,6599.387207031250000,29922.066276093600000,26706772.093784300000000,07/04/14,07/12/14,1079
2014,CA,ENF,,KING,USF,3,7,023461,1,<Null>,97717.000000000000000,97684.546875000000000,283242.464729068000000,395315329.687469000000000,09/13/14,10/10/14,1080
2014,CA,LNF,,BALD,USF,7,1,003479,1,<Null>,39751.000000000000000,39752.195312500000000,87227.372409985300000,160871423.814079000000000,07/30/14,08/15/14,1081
2014,CA,LNF,,EILER,USF,8,9,003502,1,<Null>,47958.000000000000000,31995.218750000000000,99241.713963109900000,129480055.725676000000000,07/31/14,08/24/14,1082
2014,CA,SHF,,COFFEE,USF,8,1,002410,1,<Null>,6251.000000000000000,6181.772949218750000,26740.663826656300000,25016747.761512700000000,07/29/14,10/30/14,1083
2014,CA,SNF,,FRENCH,USF,3,4,001619,1,<Null>,13837.000000000000000,13831.638671875000000,59040.413174860700000,55974656.306896100000000,07/27/14,08/18/14,1084
2014,CA,KNF,,LITTLE DEER,USF,8,1,005575,1,<Null>,5498.000000000000000,5499.706542968750000,25167.703747434100000,22256522.286513000000000,07/30/14,08/12/14,1085
2014,CA,KNF,,BEAVER,USF,7,1,005497,1,Merged with Cleghorn #5496,32496.000000000000000,32493.396484375000000,137501.814502100000000,131496109.644730000000000,07/30/14,10/08/14,1086
2014,CA,KNF,,WHITES,USF,8,1,005511,1,July Complex #5564,33758.000000000000000,33794.437500000000000,131814.376732324000000,136761230.807936000000000,07/30/14,09/25/14,1087
2014,CA,KNF,,FRYING PAN,USF,3,1,006008,1,Happy Camp Cpx #5956; Merged Delta/Faulkstein/Man,133284.200000000000000,133177.375000000000000,300331.158417248000000,538949738.244450000000000,08/11/14,09/30/14,1088
2014,NV,NOD,,COLEMAN,BLM,2,1,002798,1,<Null>,15233.000000000000000,15242.868164062500000,76307.420571097700000,61685698.309168600000000,07/01/14,08/22/14,1089
2014,CA,MCP,,TOMAHAWK- BASILONE COMPLEX,DOD,8,0,001363,1,Basilone Complex,0.000000000000000,5365.311035156250000,34819.442070935800000,21712643.887581400000000,05/19/14,01/04/1,1090
2014,CA,MCP,,PULGAS-BASILONE COMPLEX,DOD,8,0,001363,1,Basilone Complex,0.000000000000000,15186.142578125000000,56943.425800905400000,61456137.549427600000000,05/19/14,01/04/1,1091
2005,CA,KNP,00000015,COMB,NPS,2,1,00000015,2,,9753.940000000000000,9756.466796875000000,54413.542042365400000,39483018.467133600000000,07/22/05,12/01/05,1092
2004,CA,YNP,00001962,MEADOW WFU,NPS,7,1,00001962,2,,5033.360000000000000,5031.156738281250000,31288.864933766300000,20360369.271013800000000,06/30/04,07/30/04,1093
1926,CA,KNP,00000001,KAWEAH,NPS,6,7,00000000,1,,86000.000000000000000,34357.703125000000000,80754.142162461700000,139040698.427666000000000,08/10/26,08/19/26,1094
1928,CA,KNP,00008003,S FORK,NPS,8,14,00000000,1,,15500.000000000000000,21997.884765625000000,66432.220604135800000,89022278.181635400000000,08/05/28,08/14/28,1095
1999,CA,YNP,00000117,LECONTE,NPS,0,1,00000000,1,,0.000000000000000,8855.949218750000000,40931.690843156000000,35838756.487259400000000,01/04/1,01/04/1,1096
1932,CA,CNP,00000000,NORTH SHORE,NPS,6,9,00000000,0,This big historic fire documented in TNC database. Ignit pt accuracy +-1.3km?,7582.000000000000000,7575.753417968750000,28790.598091729800000,30657986.755656100000000,01/04/1,01/04/1,1097
1948,CA,KNP,00008016,SIMPSON M,NPS,8,3,00000000,1,,9500.000000000000000,11120.796875000000000,52086.998424750700000,45004269.769774200000000,09/11/48,10/08/48,1098
1960,CA,KNP,00000006,TUNNEL RA,NPS,8,2,00000000,1,,4960.000000000000000,5795.193847656250000,24723.170256783400000,23452316.817933200000000,06/26/60,07/06/60,1099
1977,CA,KNP,00007034,FERGUSON,NPS,8,1,00000000,2,,10000.000000000000000,10421.790039062500000,43623.506169548700000,42175489.802080100000000,06/26/77,11/09/77,1100
1980,CA,KNP,00000006,LEWIS CRK,NPS,8,2,00000000,1,,5400.000000000000000,8326.617187500000000,30124.602958801800000,33696625.910946800000000,09/30/80,10/06/80,1101
2003,CA,KNP,00000068,WEST KERN,NPS,2,1,00000000,2,,7963.000000000000000,7971.401855468750000,42582.910347586400000,32259118.753721400000000,08/21/03,12/15/03,1102
2006,CA,YNP,00002538,FROG,NPS,7,1,00002538,2,,6031.000000000000000,6029.851074218750000,39965.320278128500000,24401942.263471300000000,07/21/06,11/11/06,1103
1978,CA,JTP,00008001,JOSHUA,NPS,8,1,00000075,1,,6142.000000000000000,7142.116699218750000,28374.687069150200000,28903121.228041300000000,08/13/78,08/16/78,1104
1995,CA,JTP,00000046,COVINGTON,NPS,8,1,00009546,1,,5521.000000000000000,5154.069824218750000,35371.268526272200000,20857780.473342300000000,07/31/95,08/04/95,1105
1999,CA,JTP,00000007,FIRE #3,NPS,8,1,00009907,1,,11944.000000000000000,11952.237304687500000,84595.982977690500000,48368987.605128100000000,05/27/99,06/03/99,1106
1996,CA,YNP,00000120,ACKERSON,NPS,8,1,,1,20090305,0.000000000000000,59111.761718750000000,93599.706975328200000,239216805.429606000000000,08/14/96,01/04/1,1107
